id,agent,time,score
570,4,22,-600
571,4,68,2500
572,4,16,-800
573,4,31,700
574,4,66,2900
575,4,65,2100
576,4,27,-600
577,4,69,2200
578,4,18,-300
579,4,0,-1000
580,4,15,-300
581,4,32,700
582,4,40,600
583,4,42,1100
584,4,28,-200
585,4,13,-1000
586,4,13,-1000
587,4,27,-400
588,4,23,-200
589,4,24,-100
590,4,29,-200
591,4,18,-600
592,4,4,-500
593,4,7,-500
594,4,38,400
595,4,40,600
596,4,9,-1000
597,4,23,0
598,4,17,-800
599,4,15,-300
600,4,36,700
601,4,90,3400
602,4,15,-300
603,4,53,1900
604,4,20,-200
605,4,48,1700
606,4,23,-100
607,4,12,-500
608,4,16,-500
609,4,23,-400
610,4,46,1500
611,4,53,1900
612,4,35,900
613,4,8,-1000
614,4,16,-300
615,4,22,-100
616,4,5,-1000
617,4,121,5700
618,4,15,-500
619,4,28,-400
620,4,38,1100
621,4,22,-400
622,4,22,-100
623,4,20,-600
624,4,7,-1000
625,4,45,1100
626,4,41,700
627,4,9,-500
628,4,12,-1000
629,4,35,400
630,4,31,400
631,4,26,-200
632,4,49,1400
633,4,24,-600
634,4,49,1700
635,4,28,300
636,4,11,-500
637,4,10,-1000
638,4,26,100
639,4,15,-500
640,4,78,3900
641,4,13,-1000
642,4,22,-800
643,4,35,200
644,4,102,4700
645,4,38,800
646,4,46,1900
647,4,2,-500
648,4,98,4000
649,4,35,1100
650,4,68,2200
651,4,84,3000
652,4,14,-500
653,4,51,1700
654,4,48,1700
655,4,6,-500
656,4,19,-300
657,4,50,1100
658,4,5,-500
659,4,9,-500
660,4,17,-800
661,4,11,-500
662,4,47,1000
663,4,45,1000
664,4,36,500
665,4,4,-1000
666,4,55,2100
667,4,12,-1000
668,4,14,-300
669,4,60,1800
670,4,11,-1000
671,4,13,-500
672,4,62,2000
673,4,9,-1000
674,4,21,-100
675,4,20,-300
676,4,37,900
677,4,5,-1000
678,4,18,-300
679,4,13,-500
680,4,38,900
681,4,13,-300
682,4,13,-1000
683,4,54,1900
684,4,59,1900
685,4,36,900
686,4,15,-1000
687,4,24,300
688,4,18,-500
689,4,50,1200
690,4,15,-500
691,4,4,-1000
692,4,14,-500
693,4,2,-1000
694,4,43,400
695,4,64,2500
696,4,98,4000
697,4,18,-600
698,4,26,-200
699,4,39,400
700,4,125,6100
701,4,16,-500
702,4,80,3300
703,4,41,1700
704,4,26,100
705,4,10,-500
706,4,41,1300
707,4,14,-800
708,4,49,1500
709,4,20,-600
710,4,11,-1000
711,4,84,3200
712,4,14,-500
713,4,15,-500
714,4,50,1700
715,4,65,2300
716,4,19,-300
717,4,16,-1000
718,4,98,3600
719,4,67,2000
720,4,88,3300
721,4,14,-300
722,4,8,-500
723,4,2,-500
724,4,29,200
725,4,12,-500
726,4,19,-800
727,4,14,-500
728,4,20,-600
729,4,19,-1000
730,4,45,1500
731,4,32,200
732,4,22,-100
733,4,39,800
734,4,20,-100
735,4,58,1900
736,4,38,700
737,4,30,-200
738,4,48,1100
739,4,13,-500
740,4,20,-600
741,4,82,2600
742,4,14,-300
743,4,19,-800
744,4,16,-500
745,4,13,-1000
746,4,48,1500
747,4,25,500
748,4,16,-500
749,4,12,-1000
750,4,46,1000
751,4,1,-1000
752,4,14,-300
753,4,10,-500
754,4,19,-300
755,4,5,-500
756,4,14,-100
757,4,8,-1000
758,4,45,1700
759,4,29,700
760,4,15,-500
761,4,12,-1000
762,4,3,-500
763,4,23,-100
764,4,79,3500
765,4,10,-500
766,4,35,900
767,4,19,-500
768,4,15,-300
769,4,47,1100
770,4,16,-800
771,4,37,500
772,4,13,-500
773,4,13,-500
774,4,70,2200
775,4,14,-1000
776,4,22,0
777,4,10,-1000
778,4,16,-1000
779,4,9,-1000
780,4,14,-500
781,4,16,-800
782,4,9,-1000
783,4,137,7100
784,4,17,-1000
785,4,32,700
786,4,46,1300
787,4,14,-1000
788,4,81,3600
789,4,15,-1000
790,4,30,200
791,4,8,-500
792,4,45,1100
793,4,12,-500
794,4,12,-1000
795,4,48,1300
796,4,10,-500
797,4,13,-1000
798,4,13,-1000
799,4,14,-500
800,4,40,900
801,4,4,-1000
802,4,52,1900
803,4,21,-600
804,4,90,3800
805,4,35,700
806,4,19,-400
807,4,8,-500
808,4,88,3700
809,4,38,400
810,4,2,-500
811,4,9,-1000
812,4,16,-500
813,4,11,-1000
814,4,31,200
815,4,37,200
816,4,19,-100
817,4,48,1500
818,4,11,-500
819,4,9,-1000
820,4,16,-1000
821,4,19,-800
822,4,56,1400
823,4,14,-1000
824,4,30,700
825,4,48,1500
826,4,15,-100
827,4,63,1600
828,4,46,1000
829,4,49,600
830,4,16,-300
831,4,12,-1000
832,4,64,2700
833,4,55,1200
834,4,22,100
835,4,10,-1000
836,4,20,-100
837,4,12,-500
838,4,19,-100
839,4,17,-100
840,4,15,-800
841,4,29,0
842,4,41,400
843,4,38,600
844,4,39,1700
845,4,15,-500
846,4,13,-500
847,4,12,-1000
848,4,13,-1000
849,4,14,-1000
850,4,33,200
851,4,43,1100
852,4,34,400
853,4,7,-500
854,4,48,1000
855,4,29,700
856,4,18,-300
857,4,42,700
858,4,11,-1000
859,4,17,-800
860,4,14,-500
861,4,5,-500
862,4,32,500
863,4,3,-1000
864,4,23,-400
865,4,150,7700
866,4,6,-500
867,4,47,1700
868,4,11,-500
869,4,42,1000
870,4,34,700
871,4,3,-500
872,4,82,3100
873,4,63,2700
874,4,2,-1000
875,4,8,-1000
876,4,49,1700
877,4,6,-500
878,4,39,900
879,4,44,600
880,4,12,-1000
881,4,35,700
882,4,59,1400
883,4,14,-1000
884,4,21,-600
885,4,75,2400
886,4,42,400
887,4,14,-600
888,4,22,-200
889,4,10,-500
890,4,12,-1000
891,4,13,-500
892,4,20,300
893,4,30,700
894,4,50,2100
895,4,26,-200
896,4,26,300
897,4,47,1900
898,4,22,500
899,4,12,-1000
900,4,12,-300
901,4,56,2100
902,4,69,2300
903,4,7,-1000
904,4,21,-100
905,4,63,2500
906,4,29,700
907,4,85,3200
908,4,18,-600
909,4,23,-200
910,4,15,-500
911,4,21,300
912,4,22,100
913,4,18,-400
914,4,65,2900
915,4,15,-1000
916,4,3,-1000
917,4,24,-600
918,4,31,700
919,4,3,-500
920,4,90,3200
921,4,16,-500
922,4,37,600
923,4,19,-800
924,4,12,-1000
925,4,120,5800
926,4,27,-200
927,4,19,-1000
928,4,65,1600
929,4,9,-1000
930,4,14,-800
931,4,12,-1000
932,4,21,100
933,4,35,200
934,4,13,-1000
935,4,14,-300
936,4,58,1400
937,4,7,-1000
938,4,17,-500
939,4,18,-500
940,4,10,-500
941,4,15,-500
942,4,12,-1000
943,4,57,1800
944,4,16,-600
945,4,70,2200
946,4,15,-1000
947,4,64,2000
948,4,31,900
949,4,82,3400
950,4,55,1600
951,4,28,500
952,4,75,3300
953,4,49,1300
954,4,42,400
955,4,16,-500
956,4,12,-1000
957,4,15,-1000
958,4,14,-500
959,4,31,200
960,4,15,-500
961,4,58,1600
962,4,8,-1000
963,4,34,200
964,4,12,-300
965,4,11,-1000
966,4,8,-500
967,4,36,1100
968,4,35,800
969,4,15,-1000
970,4,43,1100
971,4,78,2800
972,4,38,700
973,4,49,1700
974,4,36,1500
975,4,35,700
976,4,53,1600
977,4,12,-500
978,4,32,200
979,4,15,-1000
980,4,12,-1000
981,4,21,100
982,4,12,-1000
983,4,6,-500
984,4,28,-400
985,4,18,-500
986,4,23,100
987,4,106,4900
988,4,30,900
989,4,6,-1000
990,4,17,-100
991,4,16,-500
992,4,38,200
993,4,52,1200
994,4,46,600
995,4,24,-200
996,4,68,2900
997,4,26,900
998,4,14,-500
999,4,64,2100
1000,4,44,1300
1001,4,36,200
1002,4,8,-500
1003,4,35,700
1004,4,29,0
1005,4,17,-300
1006,4,12,-1000
1007,4,9,-1000
1008,4,14,-500
1009,4,86,2800
1010,4,63,1800
1011,4,8,-1000
1012,4,12,-500
1013,4,19,-100
1014,4,37,400
1015,4,24,300
1016,4,2,-1000
1017,4,3,-1000
1018,4,24,-100
1019,4,47,1000
1020,4,11,-500
1021,4,29,200
1022,4,41,600
1023,4,34,500
1024,4,25,300
1025,4,39,800
1026,4,61,2100
1027,4,19,-300
1028,4,17,-500
1029,4,1,-500
1030,4,55,2500
1031,4,10,-500
1032,4,33,900
1033,4,15,-800
1034,4,12,-1000
