id,agent,time,score
1036,3,20,-1000
1037,3,11,-1000
1038,3,26,-100
1039,3,32,400
1040,3,2,-1000
1041,3,2,-1000
1042,3,23,100
1043,3,8,-500
1044,3,17,-500
1045,3,20,-800
1046,3,20,-800
1047,3,19,-1000
1048,3,6,-1000
1049,3,17,-1000
1050,3,19,-500
1051,3,12,-1000
1052,3,63,2100
1053,3,20,-800
1054,3,20,-1000
1055,3,108,5100
1056,3,1,-500
1057,3,14,-1000
1058,3,16,-1000
1059,3,7,-500
1060,3,17,-1000
1061,3,16,-1000
1062,3,24,300
1063,3,6,-1000
1064,3,46,1500
1065,3,19,-1000
1066,3,5,-1000
1067,3,24,-100
1068,3,24,-400
1069,3,19,-1000
1070,3,28,300
1071,3,24,-300
1072,3,22,-600
1073,3,19,-800
1074,3,24,-800
1075,3,38,1300
1076,3,19,-600
1077,3,12,-1000
1078,3,17,-500
1079,3,20,-600
1080,3,43,1500
1081,3,35,600
1082,3,7,-1000
1083,3,17,-300
1084,3,19,-800
1085,3,26,-100
1086,3,26,-200
1087,3,32,1100
1088,3,17,-1000
1089,3,12,-1000
1090,3,22,-300
1091,3,6,-500
1092,3,29,-300
1093,3,17,-1000
1094,3,20,-300
1095,3,27,-600
1096,3,17,-500
1097,3,69,3100
1098,3,10,-500
1099,3,23,-300
1100,3,19,-500
1101,3,14,-500
1102,3,16,-1000
1103,3,16,-1000
1104,3,19,-500
1105,3,28,300
1106,3,22,-300
1107,3,12,-1000
1108,3,23,-800
1109,3,14,-500
1110,3,27,-600
1111,3,29,700
1112,3,24,-300
1113,3,20,-600
1114,3,12,-1000
1115,3,43,800
1116,3,54,2100
1117,3,46,1000
1118,3,1,-1000
1119,3,4,-1000
1120,3,19,-1000
1121,3,18,-1000
1122,3,4,-500
1123,3,8,-500
1124,3,64,2000
1125,3,17,-800
1126,3,31,500
1127,3,14,-1000
1128,3,12,-500
1129,3,19,-600
1130,3,21,-800
1131,3,35,200
1132,3,4,-1000
1133,3,16,-1000
1134,3,38,600
1135,3,25,-400
1136,3,11,-1000
1137,3,12,-1000
1138,3,16,-500
1139,3,20,-1000
1140,3,13,-500
1141,3,18,-500
1142,3,19,-500
1143,3,25,-300
1144,3,21,-100
1145,3,21,100
1146,3,25,100
1147,3,15,-500
1148,3,12,-500
1149,3,19,-500
1150,3,14,-1000
1151,3,10,-500
1152,3,40,1000
1153,3,19,-1000
1154,3,13,-500
1155,3,18,-300
1156,3,33,700
1157,3,82,3500
1158,3,35,400
1159,3,24,300
1160,3,27,100
1161,3,28,0
1162,3,1,-1000
1163,3,28,-300
1164,3,27,-400
1165,3,19,-500
1166,3,7,-1000
1167,3,15,-500
1168,3,44,1200
1169,3,25,-800
1170,3,52,2100
1171,3,16,-1000
1172,3,9,-500
1173,3,12,-1000
1174,3,73,3300
1175,3,13,-500
1176,3,22,-500
1177,3,6,-500
1178,3,16,-1000
1179,3,15,-500
1180,3,18,-800
1181,3,30,700
1182,3,28,-100
1183,3,16,-500
1184,3,20,-500
1185,3,16,-1000
1186,3,20,-1000
1187,3,43,800
1188,3,37,1300
1189,3,16,-500
1190,3,16,-500
1191,3,18,-300
1192,3,8,-500
1193,3,49,1500
1194,3,20,-1000
1195,3,24,-300
1196,3,23,-800
1197,3,37,200
1198,3,19,-300
1199,3,17,-1000
1200,3,16,-1000
1201,3,16,-500
1202,3,25,-200
1203,3,20,-600
1204,3,10,-500
1205,3,2,-1000
1206,3,6,-1000
1207,3,8,-500
1208,3,17,-500
1209,3,25,100
1210,3,97,5500
1211,3,21,-500
1212,3,28,-400
1213,3,23,-600
1214,3,18,-500
1215,3,21,-500
1216,3,23,100
1217,3,9,-500
1218,3,25,-800
1219,3,31,300
1220,3,6,-1000
1221,3,7,-1000
1222,3,16,-1000
1223,3,35,-600
1224,3,0,-1000
1225,3,14,-500
1226,3,18,-500
1227,3,16,-1000
1228,3,17,-500
1229,3,22,100
1230,3,20,-300
1231,3,20,-300
1232,3,21,-300
1233,3,17,-1000
1234,3,32,0
1235,3,38,1300
1236,3,12,-1000
1237,3,22,-800
1238,3,2,-1000
1239,3,6,-1000
1240,3,15,-1000
1241,3,16,-1000
1242,3,39,400
1243,3,2,-1000
1244,3,17,-500
1245,3,15,-1000
1246,3,17,-800
1247,3,36,1100
1248,3,25,-300
1249,3,71,3300
1250,3,22,-600
1251,3,47,1700
1252,3,28,300
1253,3,0,-1000
1254,3,17,-500
1255,3,38,800
1256,3,18,-1000
1257,3,22,-300
1258,3,21,-200
1259,3,17,-800
1260,3,36,100
1261,3,38,900
1262,3,35,400
1263,3,34,600
1264,3,20,-400
1265,3,15,-500
1266,3,23,-100
1267,3,18,-500
1268,3,19,-500
1269,3,23,-100
1270,3,18,-500
1271,3,13,-500
1272,3,13,-500
1273,3,19,-300
1274,3,24,-600
1275,3,28,-600
1276,3,22,-800
1277,3,18,-300
1278,3,10,-1000
1279,3,22,-600
1280,3,12,-1000
1281,3,17,-500
1282,3,94,4700
1283,3,26,-100
1284,3,32,300
1285,3,12,-500
1286,3,26,300
1287,3,35,600
1288,3,16,-500
1289,3,18,-500
1290,3,13,-1000
1291,3,18,-1000
1292,3,9,-500
1293,3,18,-500
1294,3,21,-100
1295,3,19,-300
1296,3,3,-1000
1297,3,21,-300
1298,3,31,900
1299,3,14,-500
1300,3,14,-500
1301,3,40,1300
1302,3,54,2200
1303,3,10,-500
1304,3,26,100
1305,3,25,-100
1306,3,30,100
1307,3,15,-500
1308,3,15,-1000
1309,3,17,-500
1310,3,67,3300
1311,3,10,-500
1312,3,22,-300
1313,3,17,-300
1314,3,18,-1000
1315,3,67,2200
1316,3,17,-500
1317,3,29,-200
1318,3,33,700
1319,3,54,1700
1320,3,19,-1000
1321,3,17,-500
1322,3,12,-500
1323,3,18,-500
1324,3,59,2700
1325,3,27,500
1326,3,20,-300
1327,3,27,-200
1328,3,23,-800
1329,3,22,-800
1330,3,19,-500
1331,3,24,-800
1332,3,15,-500
1333,3,16,-500
1334,3,17,-500
1335,3,17,-500
1336,3,19,-500
1337,3,25,-500
1338,3,7,-1000
1339,3,18,-300
1340,3,23,-300
1341,3,21,-300
1342,3,25,300
1343,3,25,-100
1344,3,25,100
1345,3,4,-1000
1346,3,5,-500
1347,3,24,300
1348,3,25,-300
1349,3,7,-1000
1350,3,16,-1000
1351,3,16,-1000
1352,3,48,1100
1353,3,35,500
1354,3,11,-500
1355,3,14,-500
1356,3,15,-500
1357,3,9,-500
1358,3,27,-100
1359,3,5,-1000
1360,3,14,-500
1361,3,20,-300
1362,3,15,-500
1363,3,15,-1000
1364,3,18,-500
1365,3,43,600
1366,3,32,500
1367,3,19,-1000
1368,3,15,-1000
1369,3,32,0
1370,3,36,900
1371,3,13,-500
1372,3,22,-500
1373,3,15,-1000
1374,3,10,-500
1375,3,27,-100
1376,3,50,1500
1377,3,66,3300
1378,3,11,-500
1379,3,1,-1000
1380,3,18,-500
1381,3,14,-1000
1382,3,36,900
1383,3,27,-800
1384,3,14,-500
1385,3,30,100
1386,3,42,1300
1387,3,34,0
1388,3,8,-500
1389,3,28,0
1390,3,13,-1000
1391,3,27,-600
1392,3,22,-200
1393,3,6,-1000
1394,3,20,-1000
1395,3,47,1300
1396,3,28,100
1397,3,31,200
1398,3,18,-300
1399,3,19,-1000
1400,3,22,-300
1401,3,19,-300
1402,3,37,-200
1403,3,16,-1000
1404,3,16,-500
1405,3,13,-1000
1406,3,18,-100
1407,3,22,-300
1408,3,13,-500
1409,3,6,-500
1410,3,23,0
1411,3,15,-800
1412,3,27,-600
1413,3,12,-500
1414,3,30,-100
1415,3,14,-500
1416,3,10,-1000
1417,3,10,-1000
1418,3,38,0
1419,3,17,-300
1420,3,27,-200
1421,3,15,-500
1422,3,18,-300
1423,3,11,-1000
1424,3,24,-100
1425,3,21,-300
1426,3,28,100
1427,3,25,100
1428,3,14,-1000
1429,3,32,700
1430,3,14,-500
1431,3,32,500
1432,3,15,-500
1433,3,42,1100
1434,3,10,-500
1435,3,34,700
1436,3,11,-500
1437,3,22,-1000
1438,3,26,-400
1439,3,6,-500
1440,3,9,-1000
1441,3,15,-300
1442,3,19,-300
1443,3,53,1200
1444,3,39,-200
1445,3,76,4500
1446,3,16,-1000
1447,3,25,-300
1448,3,0,-1000
1449,3,23,-100
1450,3,29,-100
1451,3,25,0
1452,3,46,1400
1453,3,14,-1000
1454,3,28,-100
1455,3,16,-1000
1456,3,19,-300
1457,3,33,500
1458,3,40,1100
1459,3,40,1100
1460,3,20,-800
1461,3,8,-1000
1462,3,19,-300
1463,3,55,1900
1464,3,43,1300
1465,3,20,-600
1466,3,14,-500
1467,3,19,-1000
1468,3,33,400
1469,3,16,-500
1470,3,13,-1000
1471,3,40,700
1472,3,14,-500
1473,3,14,-800
1474,3,22,-100
1475,3,15,-500
1476,3,35,600
1477,3,31,300
1478,3,15,-500
1479,3,20,-800
1480,3,33,900
1481,3,15,-500
1482,3,12,-1000
1483,3,30,-100
