id,agent,time,score
548,3,22,-500

549,3,20,-1000

550,3,14,-500

551,3,5,-1000

552,3,17,-300

553,3,24,-800

554,3,41,400

555,3,38,600

556,3,35,0

557,3,26,700

558,3,53,200

559,3,12,-500

560,3,35,400

561,3,16,-500

562,3,12,-1000

563,3,4,-1000

564,3,19,-100

565,3,20,-300

566,3,19,-800

567,3,25,-600

568,3,31,-400

569,3,1,-1000

570,3,25,100

571,3,18,-1000

572,3,38,1300

573,3,51,1400

574,3,25,500

575,3,37,100

576,3,49,400

577,3,7,-500

578,3,45,1000

579,3,25,300

580,3,21,-300

581,3,26,100

582,3,25,100

583,3,7,-500

584,3,17,-500

585,3,30,-600

586,3,27,-800

587,3,20,-300

588,3,46,1600

589,3,51,1600

590,3,34,0

591,3,15,-500

592,3,51,2100

593,3,16,-300

594,3,3,-500

595,3,16,-300

596,3,28,-200

597,3,11,-1000

598,3,23,-400

599,3,24,-100

600,3,5,-500

601,3,2,-500

602,3,13,-500

603,3,18,-300

604,3,48,1200

605,3,14,-300

606,3,17,-500

607,3,30,-600

608,3,16,-500

609,3,23,-800

610,3,15,-500

611,3,16,-1000

612,3,27,-300

613,3,12,-1000

614,3,25,-400

615,3,9,-1000

616,3,19,-1000

617,3,16,-1000

618,3,6,-1000

619,3,27,0

620,3,18,-400

621,3,58,2000

622,3,16,-1000

623,3,24,-800

624,3,47,1300

625,3,15,-500

626,3,20,-300

627,3,41,1200

628,3,28,-100

629,3,21,-300

630,3,22,-500

631,3,28,-100

632,3,23,-600

633,3,21,-1000

634,3,48,600

635,3,15,-500

636,3,49,1500

637,3,17,-500

638,3,21,-600

639,3,63,2900

640,3,15,-500

641,3,12,-500

642,3,30,400

643,3,23,-500

644,3,3,-500

645,3,10,-500

646,3,2,-500

647,3,21,-100

648,3,80,3500

649,3,48,700

650,3,51,2100

651,3,23,-1000

652,3,5,-500

653,3,51,1600

654,3,23,-100

655,3,59,2000

656,3,19,-600

657,3,19,-500

658,3,4,-500

659,3,30,-400

660,3,17,-1000

661,3,14,-500

662,3,25,-200

663,3,66,2500

664,3,23,100

665,3,21,-800

666,3,25,300

667,3,28,0

668,3,26,100

669,3,15,-1000

670,3,26,-100

671,3,4,-1000

672,3,48,1000

673,3,10,-500

674,3,18,-500

675,3,21,-1000

676,3,21,-300

677,3,12,-500

678,3,13,-500

679,3,16,-100

680,3,12,-500

681,3,36,1300

682,3,16,-300

683,3,21,-300

684,3,31,700

685,3,15,-500

686,3,17,-1000

687,3,13,-500

688,3,26,-300

689,3,11,-500

690,3,18,-500

691,3,36,900

692,3,21,-1000

693,3,13,-500

694,3,70,2700

695,3,14,-500

696,3,15,-500

697,3,25,100

